5350520.10 (Census tract) GNR=25.7,,,,,,,,,,
Topic,,Characteristics,,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Recent immigrants by selected place of birth,,Total recent immigrant population in private households by selected places of birth,TRIPPHSPB,20,1990,,1060,,930,
Recent immigrants by selected place of birth,,  Americas,8,,160,,65,,90,
Recent immigrants by selected place of birth,,    United States,US,,65,,25,,35,
Recent immigrants by selected place of birth,,    Mexico,6,,0,,0,,0,
Recent immigrants by selected place of birth,,    Cuba,4,,0,,0,,0,
Recent immigrants by selected place of birth,,    Haiti,5,,0,,0,,0,
Recent immigrants by selected place of birth,,    Jamaica,7,,0,,0,,0,
Recent immigrants by selected place of birth,,    Brazil,6,,0,,0,,0,
Recent immigrants by selected place of birth,,    Colombia,8,,60,,30,,35,
Recent immigrants by selected place of birth,,    Guyana,6,,0,,0,,0,
Recent immigrants by selected place of birth,,    Peru,4,,0,,0,,0,
Recent immigrants by selected place of birth,,    Venezuela,9,21,10,,0,,0,
Recent immigrants by selected place of birth,,    Other places of birth in Americas,OPBAMER,,0,,0,,0,
Recent immigrants by selected place of birth,,  Europe,6,,40,,25,,15,
Recent immigrants by selected place of birth,,    France,6,,0,,0,,0,
Recent immigrants by selected place of birth,,    Germany,7,,0,,0,,0,
Recent immigrants by selected place of birth,,    Poland,6,,0,,0,,0,
Recent immigrants by selected place of birth,,    Romania,7,,0,,0,,0,
Recent immigrants by selected place of birth,,    Moldova,7,22,0,,0,,0,
Recent immigrants by selected place of birth,,    Russian Federation,RUSSFED,,0,,0,,0,
Recent immigrants by selected place of birth,,    Ukraine,7,,0,,0,,0,
Recent immigrants by selected place of birth,,    United Kingdom,UK,12,0,,0,,0,
Recent immigrants by selected place of birth,,    Other places of birth in Europe,OPBEURO,,15,,10,,0,
Recent immigrants by selected place of birth,,  Africa,6,,200,,95,,100,
Recent immigrants by selected place of birth,,    Nigeria,7,,0,,0,,0,
Recent immigrants by selected place of birth,,    Ethiopia,8,,0,,0,,0,
Recent immigrants by selected place of birth,,    Mauritius,9,,0,,0,,0,
Recent immigrants by selected place of birth,,    Somalia,7,,0,,0,,0,
Recent immigrants by selected place of birth,,    Algeria,7,,20,,0,,0,
Recent immigrants by selected place of birth,,    Egypt,5,,75,,50,,30,
Recent immigrants by selected place of birth,,    Morocco,7,,0,,0,,0,
Recent immigrants by selected place of birth,,    Tunisia,7,,0,,0,,0,
Recent immigrants by selected place of birth,,    Cameroon,8,,0,,0,,0,
Recent immigrants by selected place of birth,,    Congo; The Democratic Republic of the,CONGO,,0,,0,,0,
Recent immigrants by selected place of birth,,    South Africa; Republic of,SAFRICA,,15,,0,,15,
Recent immigrants by selected place of birth,,    Other places of birth in Africa,OPBAFRICA,,45,,20,,25,
Recent immigrants by selected place of birth,,  Asia,4,,1580,,865,,720,
Recent immigrants by selected place of birth,,    Philippines,PHPINES,,85,,35,,50,
Recent immigrants by selected place of birth,,    China,5,13,95,,40,,55,
Recent immigrants by selected place of birth,,    India,5,,450,,250,,195,
Recent immigrants by selected place of birth,,    Pakistan,8,,310,,165,,150,
Recent immigrants by selected place of birth,,    Iran,4,15,0,,0,,0,
Recent immigrants by selected place of birth,,    South Korea,SK,16,0,,0,,0,
Recent immigrants by selected place of birth,,    Sri Lanka,9,,0,,0,,0,
Recent immigrants by selected place of birth,,    Iraq,4,,25,,15,,15,
Recent immigrants by selected place of birth,,    Bangladesh,10,,0,,0,,0,
Recent immigrants by selected place of birth,,    Lebanon,7,,130,,80,,50,
Recent immigrants by selected place of birth,,    Viet Nam,8,14,0,,0,,0,
Recent immigrants by selected place of birth,,    Taiwan,6,,0,,0,,0,
Recent immigrants by selected place of birth,,    Afghanistan,AFGHAN,,0,,0,,0,
Recent immigrants by selected place of birth,,    Japan,5,,0,,0,,0,
Recent immigrants by selected place of birth,,    Turkey,6,,0,,0,,0,
Recent immigrants by selected place of birth,,    Israel,6,,0,,0,,0,
Recent immigrants by selected place of birth,,    Nepal,5,,0,,0,,0,
Recent immigrants by selected place of birth,,    Hong Kong Special Administrative Region,HKSAR,,20,,0,,15,
Recent immigrants by selected place of birth,,    United Arab Emirates,UAE,,150,,100,,55,
Recent immigrants by selected place of birth,,    Saudi Arabia,SAUDI,,100,,85,,20,
Recent immigrants by selected place of birth,,    Syria,5,23,15,,0,,0,
Recent immigrants by selected place of birth,,    Other places of birth in Asia,OPBASIA,,150,,75,,75,
Recent immigrants by selected place of birth,,  Oceania and other,OCEANIA,17,0,,0,,0,
Generation status,GENERS,Total population in private households by generation status,TPPHGENERS,24,9200,,4635,,4565,
Generation status,,  First generation,FG,25,6505,,3225,,3280,
Generation status,,  Second generation,SG,26,1850,,940,,910,
Generation status,,  Third generation or more,3GM,27,845,,465,,380,
Visible minority population,VMINOR,Total population in private households by visible minority,TPPHVM,,9200,,4635,,4565,
Visible minority population,,  Total visible minority population,TVMP,28,6765,,3380,,3385,
Visible minority population,,    South Asian,SA,29,2770,,1385,,1385,
Visible minority population,,    Chinese,7,,1000,,475,,525,
Visible minority population,,    Black,5,,305,,135,,175,
Visible minority population,,    Filipino,8,,530,,260,,265,
Visible minority population,,    Latin American,LATINAMER,,235,,120,,115,
Visible minority population,,    Arab,4,,1135,,615,,525,
Visible minority population,,    Southeast Asian,SEASIAN,30,70,,55,,10,
Visible minority population,,    West Asian,10,31,245,,125,,115,
Visible minority population,,    Korean,6,,165,,100,,65,
Visible minority population,,    Japanese,8,,15,,0,,0,
Visible minority population,,    Visible minority; n.i.e.,VMNIE,32,120,,35,,90,
Visible minority population,,    Multiple visible minorities,MVM,33,175,,70,,100,
Visible minority population,,  Not a visible minority,NVM,34,2435,,1255,,1180,
Ethnic origin population,EOP,Total population in private households by ethnic origins,TPPHEO,35,9200,,4635,,4565,
Ethnic origin population,,  North American Aboriginal origins,NAABORIG,,75,,0,,55,
Ethnic origin population,,    First Nations (North American Indian),FNATIONS,,60,,0,,35,
Ethnic origin population,,    Inuit,5,,0,,0,,0,
Ethnic origin population,,    Métis,5,,20,,0,,20,
Ethnic origin population,,  Other North American origins,OTHERNAORG,,555,,265,,285,
Ethnic origin population,,    Acadian,7,,0,,0,,0,
Ethnic origin population,,    American,8,,75,,45,,0,
Ethnic origin population,,    Canadian,8,,480,,220,,255,
Ethnic origin population,,    New Brunswicker,NEWBRUNS,,0,,0,,0,
Ethnic origin population,,    Newfoundlander,NEWFOUND,,0,,0,,0,
Ethnic origin population,,    Nova Scotian,NOVAS,,0,,0,,0,
Ethnic origin population,,    Ontarian,8,,0,,0,,0,
Ethnic origin population,,    Québécois,9,,0,,0,,0,
Ethnic origin population,,    Other North American origins; n.i.e.,ONANIE,36,0,,0,,0,
Ethnic origin population,,  European origins,EUROPEO,,2420,,1225,,1195,
Ethnic origin population,,    British Isles origins,BIO,,965,,550,,420,
Ethnic origin population,,      Channel Islander,CHANNELI,,0,,0,,0,
Ethnic origin population,,      Cornish,7,,0,,0,,0,
Ethnic origin population,,      English,7,,505,,290,,215,
Ethnic origin population,,      Irish,5,,365,,225,,140,
Ethnic origin population,,      Manx,4,,0,,0,,0,
Ethnic origin population,,      Scottish,8,,380,,230,,150,
Ethnic origin population,,      Welsh,5,,30,,20,,0,
Ethnic origin population,,      British Isles origins; n.i.e.,BIONIE,37,65,,40,,30,
Ethnic origin population,,    French origins,FRENCHO,,135,,65,,70,
Ethnic origin population,,      Alsatian,8,,0,,0,,0,
Ethnic origin population,,      Breton,6,,0,,0,,0,
Ethnic origin population,,      French,6,,135,,65,,70,
Ethnic origin population,,    Western European origins (except French origins),WESEO,,225,,135,,90,
Ethnic origin population,,      Austrian,8,,0,,0,,0,
Ethnic origin population,,      Belgian,7,,0,,0,,0,
Ethnic origin population,,      Dutch,5,,25,,20,,0,
Ethnic origin population,,      Flemish,7,,0,,0,,0,
Ethnic origin population,,      Frisian,7,,0,,0,,0,
Ethnic origin population,,      German,6,,205,,120,,85,
Ethnic origin population,,      Luxembourger,LUXEM,,0,,0,,0,
Ethnic origin population,,      Swiss,5,,0,,0,,0,
Ethnic origin population,,      Western European origins; n.i.e.,WESTEURO,38,0,,0,,0,
Ethnic origin population,,    Northern European origins (except British Isles origins),NORTHEURO,,95,,35,,65,
Ethnic origin population,,      Danish,6,,0,,0,,0,
Ethnic origin population,,      Finnish,7,,0,,0,,0,
Ethnic origin population,,      Icelandic,9,,0,,0,,0,
Ethnic origin population,,      Norwegian,9,,0,,0,,0,
Ethnic origin population,,      Swedish,7,,70,,0,,0,
Ethnic origin population,,      Northern European origins; n.i.e.,NEURONIE,39,0,,0,,0,
Ethnic origin population,,    Eastern European origins,EASTEURO,,495,,210,,290,
Ethnic origin population,,      Bulgarian,9,,0,,0,,0,
Ethnic origin population,,      Byelorussian,BYELOR,,0,,0,,0,
Ethnic origin population,,      Czech,5,,25,,20,,0,
Ethnic origin population,,      Czechoslovakian; n.o.s.,CZECH,,0,,0,,0,
Ethnic origin population,,      Estonian,8,,0,,0,,0,
Ethnic origin population,,      Hungarian,9,,20,,10,,0,
Ethnic origin population,,      Latvian,7,,0,,0,,0,
Ethnic origin population,,      Lithuanian,10,,0,,0,,0,
Ethnic origin population,,      Moldovan,8,,0,,0,,0,
Ethnic origin population,,      Polish,6,,260,,125,,135,
Ethnic origin population,,      Romanian,8,,25,,0,,15,
Ethnic origin population,,      Russian,7,,30,,0,,0,
Ethnic origin population,,      Slovak,6,,15,,0,,0,
Ethnic origin population,,      Ukrainian,9,,110,,20,,95,
Ethnic origin population,,      Eastern European origins; n.i.e.,EEURONIE,40,0,,0,,0,
Ethnic origin population,,    Southern European origins,SEURO,,1085,,515,,570,
Ethnic origin population,,      Albanian,8,,0,,0,,0,
Ethnic origin population,,      Bosnian,7,,0,,0,,0,
Ethnic origin population,,      Croatian,8,,70,,30,,40,
Ethnic origin population,,      Cypriot,7,,0,,0,,0,
Ethnic origin population,,      Greek,5,,70,,45,,30,
Ethnic origin population,,      Italian,7,,300,,165,,135,
Ethnic origin population,,      Kosovar,7,,0,,0,,0,
Ethnic origin population,,      Macedonian,10,,0,,0,,0,
Ethnic origin population,,      Maltese,7,,25,,0,,0,
Ethnic origin population,,      Montenegrin,MONTEGRIN,,0,,0,,0,
Ethnic origin population,,      Portuguese,10,,460,,190,,265,
Ethnic origin population,,      Serbian,7,,50,,25,,30,
Ethnic origin population,,      Sicilian,8,,0,,0,,0,
Ethnic origin population,,      Slovenian,9,,0,,0,,0,
Ethnic origin population,,      Spanish,7,,190,,105,,95,
Ethnic origin population,,      Yugoslavian; n.o.s.,YUGO,,0,,0,,0,
Ethnic origin population,,      Southern European origins; n.i.e.,SEURONIE,41,0,,0,,0,
Ethnic origin population,,    Other European origins,OTHEREURO,,30,,20,,0,
Ethnic origin population,,      Basque,6,,0,,0,,0,
Ethnic origin population,,      Jewish,6,,25,,15,,0,
Ethnic origin population,,      Roma (Gypsy),RMGYP,,0,,0,,0,
Ethnic origin population,,      Slavic; n.o.s.,SLAVIC,,0,,0,,0,
Ethnic origin population,,      Other European origins; n.i.e.,OTREURONIE,42,0,,0,,0,
Ethnic origin population,,  Caribbean origins,CARIBBEAN,,375,,135,,240,
Ethnic origin population,,    Antiguan,8,,0,,0,,0,
Ethnic origin population,,    Bahamian,8,,0,,0,,0,
Ethnic origin population,,    Barbadian,9,,25,,0,,0,
Ethnic origin population,,    Bermudan,8,,0,,0,,0,
Ethnic origin population,,    Carib,5,,0,,0,,0,
Ethnic origin population,,    Cuban,5,,20,,0,,0,
Ethnic origin population,,    Dominican,9,,0,,0,,0,
Ethnic origin population,,    Grenadian,9,,0,,0,,0,
Ethnic origin population,,    Haitian,7,,0,,0,,0,
Ethnic origin population,,    Jamaican,8,,95,,50,,45,
Ethnic origin population,,    Kittitian/Nevisian,KITTNEVIS,,0,,0,,0,
Ethnic origin population,,    Martinican,10,,0,,0,,0,
Ethnic origin population,,    Montserratan,MONTSERR,,0,,0,,0,
Ethnic origin population,,    Puerto Rican,PUERTO,,0,,0,,0,
Ethnic origin population,,    St. Lucian,10,,0,,0,,0,
Ethnic origin population,,    Trinidadian/Tobagonian,TNTIAN,,35,,0,,35,
Ethnic origin population,,    Vincentian/Grenadinian,VINGREIAN,,15,,0,,15,
Ethnic origin population,,    West Indian; n.o.s.,WESTIND,,180,,55,,130,
Ethnic origin population,,    Caribbean origins; n.i.e.,CARIBNIE,43,0,,0,,0,
Ethnic origin population,,  Latin; Central and South American origins,LATINCENSA,,350,,170,,180,
Ethnic origin population,,    Aboriginal from Central/South America (except Maya),ABORICSA,,0,,0,,0,
Ethnic origin population,,    Argentinian,ARGENIAN,,0,,0,,0,
Ethnic origin population,,    Belizean,8,,0,,0,,0,
Ethnic origin population,,    Bolivian,8,,0,,0,,0,
Ethnic origin population,,    Brazilian,9,,50,,35,,0,
Ethnic origin population,,    Chilean,7,,0,,0,,0,
Ethnic origin population,,    Colombian,9,,135,,75,,60,
Ethnic origin population,,    Costa Rican,COSTARICAN,,0,,0,,0,
Ethnic origin population,,    Ecuadorian,10,,0,,0,,0,
Ethnic origin population,,    Guatemalan,10,,0,,0,,0,
Ethnic origin population,,    Guyanese,8,,90,,15,,75,
Ethnic origin population,,    Hispanic,8,,20,,0,,0,
Ethnic origin population,,    Honduran,8,,0,,0,,0,
Ethnic origin population,,    Maya,4,,0,,0,,0,
Ethnic origin population,,    Mexican,7,,20,,0,,0,
Ethnic origin population,,    Nicaraguan,10,,0,,0,,0,
Ethnic origin population,,    Panamanian,10,,0,,0,,0,
Ethnic origin population,,    Paraguayan,10,,0,,0,,0,
Ethnic origin population,,    Peruvian,8,,0,,0,,0,
Ethnic origin population,,    Salvadorean,SALVA,,0,,0,,0,
Ethnic origin population,,    Uruguayan,9,,0,,0,,0,
Ethnic origin population,,    Venezuelan,10,,15,,10,,0,
Ethnic origin population,,    Latin; Central and South American origins; n.i.e.,LATINCENSA,44,0,,0,,0,
Ethnic origin population,,  African origins,AFRICORG,,510,,255,,255,
Ethnic origin population,,    Central and West African origins,CWAFRICAO,,0,,0,,0,
Ethnic origin population,,      Akan,4,,0,,0,,0,
Ethnic origin population,,      Angolan,7,,0,,0,,0,
Ethnic origin population,,      Ashanti,7,,0,,0,,0,
Ethnic origin population,,      Beninese,8,,0,,0,,0,
Ethnic origin population,,      Burkinabe,9,,0,,0,,0,
Ethnic origin population,,      Cameroonian,CAMERIAN,,0,,0,,0,
Ethnic origin population,,      Chadian,7,,0,,0,,0,
Ethnic origin population,,      Congolese,9,,0,,0,,0,
Ethnic origin population,,      Gabonese,8,,0,,0,,0,
Ethnic origin population,,      Gambian,7,,0,,0,,0,
Ethnic origin population,,      Ghanaian,8,,0,,0,,0,
Ethnic origin population,,      Guinean,7,,0,,0,,0,
Ethnic origin population,,      Ibo,3,,0,,0,,0,
Ethnic origin population,,      Ivorian,7,,0,,0,,0,
Ethnic origin population,,      Liberian,8,,0,,0,,0,
Ethnic origin population,,      Malian,6,,0,,0,,0,
Ethnic origin population,,      Nigerian,8,,0,,0,,0,
Ethnic origin population,,      Peulh,5,,0,,0,,0,
Ethnic origin population,,      Senegalese,10,,0,,0,,0,
Ethnic origin population,,      Sierra Leonean,SIERRALEO,,0,,0,,0,
Ethnic origin population,,      Togolese,8,,0,,0,,0,
Ethnic origin population,,      Yoruba,6,,0,,0,,0,
Ethnic origin population,,      Central and West African origins; n.i.e.,CWAFONIE,45,0,,0,,0,
Ethnic origin population,,    North African origins,NAFRICAO,,405,,200,,205,
Ethnic origin population,,      Algerian,8,,30,,0,,0,
Ethnic origin population,,      Berber,6,,0,,0,,0,
Ethnic origin population,,      Coptic,6,,0,,0,,0,
Ethnic origin population,,      Dinka,5,,0,,0,,0,
Ethnic origin population,,      Egyptian,8,,200,,95,,105,
Ethnic origin population,,      Libyan,6,,0,,0,,0,
Ethnic origin population,,      Maure,5,,0,,0,,0,
Ethnic origin population,,      Moroccan,8,,70,,45,,0,
Ethnic origin population,,      Sudanese,8,,135,,60,,80,
Ethnic origin population,,      Tunisian,8,,0,,0,,0,
Ethnic origin population,,      North African origins; n.i.e.,NAFONIE,46,0,,0,,0,
Ethnic origin population,,    Southern and East African origins,SEAFRICAO,,20,,0,,25,
Ethnic origin population,,      Afrikaner,9,,0,,0,,0,
Ethnic origin population,,      Amhara,6,,0,,0,,0,
Ethnic origin population,,      Bantu; n.o.s.,BANTU,,0,,0,,0,
Ethnic origin population,,      Burundian,9,,0,,0,,0,
Ethnic origin population,,      Eritrean,8,,0,,0,,0,
Ethnic origin population,,      Ethiopian,9,,0,,0,,0,
Ethnic origin population,,      Harari,6,,0,,0,,0,
Ethnic origin population,,      Kenyan,6,,0,,0,,0,
Ethnic origin population,,      Malagasy,8,,0,,0,,0,
Ethnic origin population,,      Mauritian,9,,0,,0,,0,
Ethnic origin population,,      Oromo,5,,0,,0,,0,
Ethnic origin population,,      Rwandan,7,,0,,0,,0,
Ethnic origin population,,      Seychellois,SEYCHEOIS,,0,,0,,0,
Ethnic origin population,,      Somali,6,,0,,0,,0,
Ethnic origin population,,      South African,SAIAN,,0,,0,,0,
Ethnic origin population,,      Tanzanian,9,,0,,0,,0,
Ethnic origin population,,      Tigrian,7,,0,,0,,0,
Ethnic origin population,,      Ugandan,7,,0,,0,,0,
Ethnic origin population,,      Zambian,7,,0,,0,,0,
Ethnic origin population,,      Zimbabwean,ZIMBIAN,,0,,0,,0,
Ethnic origin population,,      Zulu,4,,0,,0,,0,
Ethnic origin population,,      Southern and East African origins; n.i.e.,SEAFONIE,47,0,,0,,0,
Ethnic origin population,,    Other African origins,OAO,,75,,45,,25,
Ethnic origin population,,      Black; n.o.s.,BLACK,48,0,,0,,0,
Ethnic origin population,,      Other African origins; n.i.e.,OTHAFORIG,49,75,,50,,20,
Ethnic origin population,,  Asian origins,ASIANORIG,,5925,,3010,,2915,
Ethnic origin population,,    West Central Asian and Middle Eastern origins,WCAME,,1340,,710,,630,
Ethnic origin population,,      Afghan,6,,0,,0,,0,
Ethnic origin population,,      Arab; n.o.s.,ARABNOS,,220,,140,,75,
Ethnic origin population,,      Armenian,8,,0,,0,,0,
Ethnic origin population,,      Assyrian,8,,0,,0,,0,
Ethnic origin population,,      Azerbaijani,AZERBAI,,0,,0,,0,
Ethnic origin population,,      Georgian,8,,0,,0,,0,
Ethnic origin population,,      Iranian,7,,95,,35,,65,
Ethnic origin population,,      Iraqi,5,,110,,60,,50,
Ethnic origin population,,      Israeli,7,,0,,0,,0,
Ethnic origin population,,      Jordanian,9,,145,,75,,70,
Ethnic origin population,,      Kazakh,6,,0,,0,,0,
Ethnic origin population,,      Kurd,4,,60,,0,,0,
Ethnic origin population,,      Kuwaiti,7,,0,,0,,0,
Ethnic origin population,,      Lebanese,8,,230,,140,,85,
Ethnic origin population,,      Palestinian,PALESTIN,,465,,255,,210,
Ethnic origin population,,      Pashtun,7,,25,,0,,0,
Ethnic origin population,,      Saudi Arabian,SAUDIARAB,,15,,0,,15,
Ethnic origin population,,      Syrian,6,,105,,40,,75,
Ethnic origin population,,      Tajik,5,,0,,0,,0,
Ethnic origin population,,      Tatar,5,,0,,0,,0,
Ethnic origin population,,      Turk,4,,25,,0,,0,
Ethnic origin population,,      Uighur,6,,0,,0,,0,
Ethnic origin population,,      Uzbek,5,,0,,0,,0,
Ethnic origin population,,      Yemeni,6,,0,,0,,0,
Ethnic origin population,,      West Central Asian and Middle Eastern origins; n.i.e.,WCAMEONIE,50,105,,65,,0,
Ethnic origin population,,    South Asian origins,SAO,,2820,,1425,,1395,
Ethnic origin population,,      Bangladeshi,BANGLSHI,,0,,0,,0,
Ethnic origin population,,      Bengali,7,,0,,0,,0,
Ethnic origin population,,      East Indian,EASTINDIAN,48,1905,,950,,955,
Ethnic origin population,,      Goan,4,,20,,0,,0,
Ethnic origin population,,      Gujarati,8,,0,,0,,0,
Ethnic origin population,,      Kashmiri,8,,0,,0,,0,
Ethnic origin population,,      Nepali,6,,0,,0,,0,
Ethnic origin population,,      Pakistani,9,,685,,360,,330,
Ethnic origin population,,      Punjabi,7,,15,,0,,0,
Ethnic origin population,,      Sinhalese,9,,0,,0,,0,
Ethnic origin population,,      Sri Lankan,10,,155,,65,,90,
Ethnic origin population,,      Tamil,5,,35,,0,,0,
Ethnic origin population,,      South Asian origins; n.i.e.,SAONIE,51,75,,45,,30,
Ethnic origin population,,    East and Southeast Asian origins,ESAO,,1840,,935,,910,
Ethnic origin population,,      Burmese,7,,0,,0,,0,
Ethnic origin population,,      Cambodian (Khmer),CAMBKHMER,,0,,0,,0,
Ethnic origin population,,      Chinese,7,,1080,,520,,565,
Ethnic origin population,,      Filipino,8,,505,,255,,250,
Ethnic origin population,,      Hmong,5,,0,,0,,0,
Ethnic origin population,,      Indonesian,10,,25,,30,,0,
Ethnic origin population,,      Japanese,8,,20,,0,,0,
Ethnic origin population,,      Korean,6,,165,,100,,60,
Ethnic origin population,,      Laotian,7,,0,,0,,0,
Ethnic origin population,,      Malaysian,9,,0,,0,,0,
Ethnic origin population,,      Mongolian,9,,0,,0,,0,
Ethnic origin population,,      Singaporean,SINGEAN,,0,,0,,0,
